field_idx,csbid
1,191825000014217
2,191825000014223
3,191825000014224
4,191825000014225
5,191825000014227
6,191825000014231
7,191825000014234
8,191825000014235
9,191825000014236
10,191825000014237
11,191825000014238
12,191825000014244
13,191825000014247
14,191825000014248
15,191825000014249
16,191825000014250
17,191825000014251
18,191825000014252
19,191825000014253
20,191825000014265
21,191825000014273
22,191825000014274
23,191825000014275
24,191825000014276
25,191825000014278
26,191825000014279
27,191825000014280
28,191825000014281
29,191825000014282
30,191825000014283
31,191825000014287
32,191825000014292
33,191825000014294
34,191825000014301
35,191825000014304
36,191825000014308
37,191825000014309
38,191825000014311
39,191825000014312
40,191825000014317
41,191825000014318
42,191825000014319
43,191825000014320
44,191825000014321
45,191825000014322
46,191825000014332
47,191825000014346
48,191825000014347
49,191825000014354
50,191825000014355
51,191825000014356
52,191825000014357
53,191825000014358
54,191825000014361
55,191825000014362
56,191825000014363
57,191825000014364
58,191825000014366
59,191825000014373
60,191825000014375
61,191825000014377
62,191825000014378
63,191825000014379
64,191825000014380
65,191825000014381
66,191825000014383
67,191825000014386
68,191825000014387
69,191825000014390
70,191825000014393
71,191825000014394
72,191825000014395
73,191825000014408
74,191825000014409
75,191825000014410
76,191825000014417
77,191825000014418
78,191825000014419
79,191825000014420
80,191825000014421
81,191825000014422
82,191825000014423
83,191825000014428
84,191825000014429
85,191825000014433
86,191825000014434
87,191825000014441
88,191825000014444
89,191825000014447
90,191825000014448
91,191825000014449
92,191825000014456
93,191825000014457
94,191825000014458
95,191825000014465
96,191825000014466
97,191825000014467
98,191825000014468
99,191825000014470
100,191825000014471
101,191825000014472
102,191825000014473
103,191825000014474
104,191825000014475
105,191825000014481
106,191825000014484
107,191825000014495
108,191825000014496
109,191825000014503
110,191825000014504
111,191825000014507
112,191825000014508
113,191825000014509
114,191825000014510
115,191825000014511
116,191825000014512
117,191825000014515
118,191825000014518
119,191825000014519
120,191825000014520
121,191825000014524
122,191825000014529
123,191825000014530
124,191825000014531
125,191825000014532
126,191825000014533
127,191825000014534
128,191825000014537
129,191825000014538
130,191825000014544
131,191825000014545
132,191825000014546
133,191825000014549
134,191825000014554
135,191825000014555
136,191825000014556
137,191825000014557
138,191825000014558
139,191825000014561
140,191825000014562
141,191825000014564
142,191825000014571
143,191825000014572
144,191825000014573
145,191825000014574
146,191825000014575
147,191825000014576
148,191825000014577
149,191825000014582
150,191825000014583
151,191825000014584
152,191825000014586
153,191825000014587
154,191825000014589
155,191825000014600
156,191825000014605
157,191825000014606
158,191825000014607
159,191825000014608
160,191825000014610
161,191825000014612
162,191825000014613
163,191825000014618
164,191825000014619
165,191825000014620
166,191825000014621
167,191825000014628
168,191825000014629
169,191825000014630
170,191825000014634
171,191825000014642
172,191825000014643
173,191825000014651
174,191825000014652
175,191825000014653
176,191825000014654
177,191825000014657
178,191825000014658
179,191825000014659
180,191825000014660
181,191825000014661
182,191825000014662
183,191825000014663
184,191825000014664
185,191825000014668
186,191825000014669
187,191825000014671
188,191825000014675
189,191825000014676
190,191825000014679
191,191825000014680
192,191825000014684
193,191825000014698
194,191825000014699
195,191825000014702
196,191825000014703
197,191825000014704
198,191825000014705
199,191825000014706
200,191825000014707
201,191825000014708
202,191825000014714
203,191825000014719
204,191825000014722
205,191825000014725
206,191825000014731
207,191825000014741
208,191825000014742
209,191825000014743
210,191825000014748
211,191825000014749
212,191825000014752
213,191825000014753
214,191825000014754
215,191825000014755
216,191825000014756
217,191825000014757
218,191825000014760
219,191825000014761
220,191825000014763
221,191825000014765
222,191825000014769
223,191825000014775
224,191825000014779
225,191825000014783
226,191825000014789
227,191825000014792
228,191825000014799
229,191825000014800
230,191825000014803
231,191825000014804
232,191825000014805
233,191825000014806
234,191825000014807
235,191825000014810
236,191825000014813
237,191825000014819
238,191825000014826
239,191825000014828
240,191825000014830
241,191825000014831
242,191825000014832
243,191825000014833
244,191825000014834
245,191825000014845
246,191825000014847
247,191825000014853
248,191825000014854
249,191825000014855
250,191825000014865
251,191825000014869
252,191825000014870
253,191825000014876
254,191825000014877
255,191825000014878
256,191825000014879
257,191825000014883
258,191825000014886
259,191825000014889
260,191825000014890
261,191825000014892
262,191825000014893
263,191825000014899
264,191825000014905
265,191825000014915
266,191825000014916
267,191825000014921
268,191825000014922
269,191825000014923
270,191825000014924
271,191825000014925
272,191825000014926
273,191825000014927
274,191825000014930
275,191825000014931
276,191825000014932
277,191825000014938
278,191825000014939
279,191825000014940
280,191825000014941
281,191825000014942
282,191825000014943
283,191825000014948
284,191825000014949
285,191825000014951
286,191825000014952
287,191825000014953
288,191825000014954
289,191825000014955
290,191825000014968
291,191825000014969
292,191825000014970
293,191825000014971
294,191825000014982
295,191825000014983
296,191825000014984
297,191825000014990
298,191825000014994
299,191825000014995
300,191825000015008
301,191825000015009
302,191825000015010
303,191825000015012
304,191825000015014
305,191825000015015
306,191825000015016
307,191825000015021
308,191825000015029
309,191825000015031
310,191825000015032
311,191825000015037
312,191825000015038
313,191825000015057
314,191825000015059
315,191825000015060
316,191825000015072
317,191825000015082
318,191825000015086
319,191825000015087
320,191825000015102
321,191825000015106
322,191825000015107
323,191825000015108
324,191825000015109
325,191825000015117
326,191825000015118
327,191825000015120
328,191825000015121
329,191825000015122
330,191825000015124
331,191825000015125
332,191825000015128
333,191825000015129
334,191825000015133
335,191825000015138
336,191825000015156
337,191825000015158
338,191825000015162
339,191825000015167
340,191825000015170
341,191825000015174
342,191825000015175
343,191825000015183
344,191825000015189
345,191825000015193
346,191825000015194
347,191825000015208
348,191825000015220
349,191825000015221
350,191825000015234
351,191825000015236
352,191825000015238
353,191825000015245
354,191825000015251
355,191825000015256
356,191825000015257
357,191825000015264
358,191825000015272
359,191825000015276
360,191825000015286
361,191825000015289
362,191825000015322
363,191825000015334
364,191825000015336
365,191825000015352
366,191825000015355
367,191825000015373
368,191825000015374
369,191825000015377
370,191825000015379
371,191825000015380
372,191825000015384
373,191825000015385
374,191825000015387
375,191825000015390
376,191825001175231
377,191825001175232
378,191825001175233
379,191825001175234
380,191825001175237
381,191825001175238
382,191825001175239
383,191825001175241
384,191825001175242
385,191825001175243
386,191825001175245
387,191825001175246
388,191825001175247
389,191825001175248
390,191825001175249
391,191825001175251
392,191825001175252
393,191825001175253
394,191825001175254
395,191825001175255
396,191825001175256
397,191825001175257
398,191825001175258
399,191825001175259
400,191825001175260
401,191825001175261
402,191825001175262
403,191825001175264
404,191825001175265
405,191825001175266
406,191825001175267
407,191825001175268
408,191825001175272
409,191825001175273
410,191825001175274
411,191825001175275
412,191825001175276
413,191825001175277
414,191825001175278
415,191825001175280
416,191825001175281
417,191825001175282
418,191825001175283
419,191825001175284
420,191825001175285
421,191825001175286
422,191825001175287
423,191825001175288
424,191825001175289
425,191825001175290
426,191825001175291
427,191825001175292
428,191825001175293
429,191825001175294
430,191825001175295
431,191825001175296
432,191825001175297
433,191825001175298
434,191825001175299
435,191825001175301
436,191825001175302
437,191825001175303
438,191825001175304
439,191825001175305
440,191825001175306
441,191825001175307
442,191825001175308
443,191825001175309
444,191825001175310
445,191825001175311
446,191825001175313
447,191825001175314
448,191825001175315
449,191825001175316
450,191825001175317
451,191825001175320
452,191825001175321
453,191825001175322
454,191825001175323
455,191825001175324
456,191825001175325
457,191825001175327
458,191825001175328
459,191825001175329
460,191825001175330
461,191825001175332
462,191825001175333
463,191825001175334
464,191825001175335
465,191825001175336
466,191825001175337
467,191825001175338
468,191825001175339
469,191825001175342
470,191825001175344
471,191825001175345
472,191825001175346
473,191825001175347
474,191825001175348
475,191825001175349
476,191825001175350
477,191825001175351
478,191825001175352
479,191825001175353
480,191825001175354
481,191825001175355
482,191825001175356
483,191825001175357
484,191825001175358
485,191825001175359
486,191825001175360
487,191825001175361
488,191825001175362
489,191825001175364
490,191825001175365
491,191825001175366
492,191825001175367
493,191825001175368
494,191825001175369
495,191825001175370
496,191825001175371
497,191825001175372
498,191825001175373
499,191825001175375
500,191825001175376
501,191825001175377
502,191825001175378
503,191825001175381
504,191825001175382
505,191825001175383
506,191825001175385
507,191825001175386
508,191825001175387
509,191825001175388
510,191825001175389
511,191825001175391
512,191825001175392
513,191825001175393
514,191825001175394
515,191825001175395
516,191825001175396
517,191825001175397
518,191825001175398
519,191825001175399
520,191825001175400
521,191825001175401
522,191825001175402
523,191825001175403
524,191825001175404
525,191825001175405
526,191825001175406
527,191825001175407
528,191825001175408
529,191825001175409
530,191825001175410
531,191825001175412
532,191825001175413
533,191825001175414
534,191825001175415
535,191825001175416
536,191825001175417
537,191825001175418
538,191825001175419
539,191825001175420
540,191825001175421
541,191825001175422
542,191825001175423
543,191825001175424
544,191825001175425
545,191825001175426
546,191825001175427
547,191825001175428
548,191825001175429
549,191825001175430
550,191825001175431
551,191825001175432
552,191825001175433
553,191825001175434
554,191825001175435
555,191825001175436
556,191825001175437
557,191825001175438
558,191825001175439
559,191825001175441
560,191825001175442
561,191825001175443
562,191825001175447
563,191825001175448
564,191825001175449
565,191825001175450
566,191825001175452
567,191825001175453
568,191825001175454
569,191825001175455
570,191825001175456
571,191825001175457
572,191825001175459
573,191825001175460
574,191825001175462
575,191825001175463
576,191825001175464
577,191825001175465
578,191825001175466
579,191825001175467
580,191825001175468
581,191825001175470
582,191825001175471
583,191825001175472
584,191825001175473
585,191825001175474
586,191825001175475
587,191825001175477
588,191825001175478
589,191825001175479
590,191825001175480
591,191825001175481
592,191825001175482
593,191825001175483
594,191825001175484
595,191825001175485
596,191825001175486
597,191825001175487
598,191825001175488
599,191825001175489
600,191825001175490
601,191825001175491
602,191825001175492
603,191825001175493
604,191825001175494
605,191825001175495
606,191825001175496
607,191825001175497
608,191825001175498
609,191825001175499
610,191825001175500
611,191825001175502
612,191825001175503
613,191825001175504
614,191825001175505
615,191825001175506
616,191825001175507
617,191825001175509
618,191825001175510
619,191825001175511
620,191825001175512
621,191825001175513
622,191825001175514
623,191825001175515
624,191825001175516
625,191825001175517
626,191825001175520
627,191825001175521
628,191825001175522
629,191825001175523
630,191825001175524
631,191825001175525
632,191825001175526
633,191825001175527
634,191825001175528
635,191825001175529
636,191825001175530
637,191825001175531
638,191825001175532
639,191825001175533
640,191825001175534
641,191825001175535
642,191825001175537
643,191825001175538
644,191825001175540
645,191825001175541
646,191825001175543
647,191825001175544
648,191825001175545
649,191825001175546
650,191825001175550
651,191825001175551
652,191825001175552
653,191825001175553
654,191825001175554
655,191825001175555
656,191825001175559
657,191825001175560
658,191825001175561
659,191825001175562
660,191825001175563
661,191825001175565
662,191825001175566
663,191825001175567
664,191825001175568
665,191825001175571
666,191825001175572
667,191825001175578
668,191825001175579
669,191825001175580
670,191825001175581
671,191825001175582
672,191825001175583
673,191825001175584
674,191825001175585
675,191825001175586
676,191825001175587
677,191825001175588
678,191825001175589
679,191825001175590
680,191825001175591
681,191825001175592
682,191825001175593
683,191825001175594
684,191825001175595
685,191825001175596
686,191825001175597
687,191825001175598
688,191825001175599
689,191825001175600
690,191825001175601
691,191825001175602
692,191825001175604
693,191825001175605
694,191825001175606
695,191825001175607
696,191825001175608
697,191825001175609
698,191825001175610
699,191825001175611
700,191825001175612
701,191825001175613
702,191825001175615
703,191825001175616
704,191825001175617
705,191825001175618
706,191825001175619
707,191825001175620
708,191825001175622
709,191825001175623
710,191825001175624
711,191825001175625
712,191825001175626
713,191825001175627
714,191825001175628
715,191825001175630
716,191825001175631
717,191825001175632
718,191825001175633
719,191825001175634
720,191825001175635
721,191825001175636
722,191825001175637
723,191825001175639
724,191825001175641
725,191825001175642
726,191825001175643
727,191825001175644
728,191825001175645
729,191825001175647
730,191825001175648
731,191825001175649
732,191825001175650
733,191825001175651
734,191825001175652
735,191825001175653
736,191825001175654
737,191825001175655
738,191825001175656
739,191825001175657
740,191825001175658
741,191825001175659
742,191825001175660
743,191825001175661
744,191825001175662
745,191825001175663
746,191825001175665
747,191825001175666
748,191825001175667
749,191825001175668
750,191825001175669
751,191825001175670
752,191825001175671
753,191825001175672
754,191825001175673
755,191825001175674
756,191825001175675
757,191825001175676
758,191825001175677
759,191825001175678
760,191825001175679
761,191825001175680
762,191825001175681
763,191825001175682
764,191825001175683
765,191825001175684
766,191825001175685
767,191825001175687
768,191825001175688
769,191825001175689
770,191825001175690
771,191825001175691
772,191825001175693
773,191825001175694
774,191825001175696
775,191825001175698
776,191825001175699
777,191825001175700
778,191825001175703
779,191825001175706
780,191825001175707
781,191825001175708
782,191825001175713
783,191825001175716
784,191825001175717
785,191825001175718
786,191825001175719
787,191825001175721
788,191825001175722
789,191825001175726
790,191825001175728
791,191825001175729
792,191825001175730
793,191825001175731
794,191825001175732
795,191825001175733
796,191825001175735
797,191825001175736
798,191825001175737
799,191825001175738
800,191825001175739
801,191825001175742
802,191825001175743
803,191825001175744
804,191825001175745
805,191825001175746
806,191825001175747
807,191825001175750
808,191825001175751
809,191825001175752
810,191825001175753
811,191825001175754
812,191825001175755
813,191825001175756
814,191825001175757
815,191825001175758
816,191825001175759
817,191825001175760
818,191825001175761
819,191825001175762
820,191825001175763
821,191825001175764
822,191825001175765
823,191825001175766
824,191825001175767
825,191825001175768
826,191825001175769
827,191825001175771
828,191825001175773
829,191825001175774
830,191825001175775
831,191825001175776
832,191825001175777
833,191825001175778
834,191825001175779
835,191825001175780
836,191825001175781
837,191825001175782
838,191825001175783
839,191825001175786
840,191825001175787
841,191825001175788
842,191825001175789
843,191825001175790
844,191825001175791
845,191825001175792
846,191825001175793
847,191825001175794
848,191825001175795
849,191825001175796
850,191825001175797
851,191825001175798
852,191825001175799
853,191825001175800
854,191825001175801
855,191825001175802
856,191825001175803
857,191825001175804
858,191825001175805
859,191825001175806
860,191825001175807
861,191825001175808
862,191825001175809
863,191825001175810
864,191825001175811
865,191825001175812
866,191825001175813
867,191825001175814
868,191825001175815
869,191825001175816
870,191825001175818
871,191825001175820
872,191825001175821
873,191825001175822
874,191825001175823
875,191825001175824
876,191825001175826
877,191825001175828
878,191825001175829
879,191825001175830
880,191825001175831
881,191825001175834
882,191825001175835
883,191825001175836
884,191825001175838
885,191825001175839
886,191825001175840
887,191825001175842
888,191825001175843
889,191825001175844
890,191825001175845
891,191825001175846
892,191825001175847
893,191825001175848
894,191825001175849
895,191825001175850
896,191825001175851
897,191825001175852
898,191825001175853
899,191825001175854
900,191825001175857
901,191825001175858
902,191825001175859
903,191825001175860
904,191825001175861
905,191825001175862
906,191825001175863
907,191825001175864
908,191825001175866
909,191825001175867
910,191825001175868
911,191825001175870
912,191825001175871
913,191825001175872
914,191825001175873
915,191825001175874
916,191825001175875
917,191825001175876
918,191825001175877
919,191825001175878
920,191825001175879
921,191825001175880
922,191825001175881
923,191825001175882
924,191825001175883
925,191825001175884
926,191825001175885
927,191825001175886
928,191825001175887
929,191825001175888
930,191825001175889
931,191825001175890
932,191825001175891
933,191825001175892
934,191825001175894
935,191825001175895
936,191825001175896
937,191825001175897
938,191825001175900
939,191825001175901
940,191825001175902
941,191825001175903
942,191825001175904
943,191825001175905
944,191825001175907
945,191825001175909
946,191825001175910
947,191825001175911
948,191825001175912
949,191825001175913
950,191825001175916
951,191825001175917
952,191825001175918
953,191825001175919
954,191825001175920
955,191825001175922
956,191825001175923
957,191825001175924
958,191825001175925
959,191825001175927
960,191825001175928
961,191825001175929
962,191825001175930
963,191825001175931
964,191825001175932
965,191825001175933
966,191825001175934
967,191825001175935
968,191825001175936
969,191825001175937
970,191825001175938
971,191825001175942
972,191825001175943
973,191825001175945
974,191825001175946
975,191825001175947
976,191825001175948
977,191825001175949
978,191825001175950
979,191825001175951
980,191825001175952
981,191825001175953
982,191825001175954
983,191825001175955
984,191825001175957
985,191825001175958
986,191825001175959
987,191825001175960
988,191825001175961
989,191825001175962
990,191825001175963
991,191825001175964
992,191825001175965
993,191825001175966
994,191825001175968
995,191825001175969
996,191825001175970
997,191825001175971
998,191825001175972
999,191825001175973
1000,191825001175974
1001,191825001175975
1002,191825001175976
1003,191825001175977
1004,191825001175978
1005,191825001175979
1006,191825001175980
1007,191825001175985
1008,191825001175986
1009,191825001175987
1010,191825001175988
1011,191825001175989
1012,191825001175991
1013,191825001175993
1014,191825001175994
1015,191825001175995
1016,191825001175997
1017,191825001175998
1018,191825001175999
1019,191825001176001
1020,191825001176002
1021,191825001176003
1022,191825001176004
1023,191825001176005
1024,191825001176006
1025,191825001176007
1026,191825001176008
1027,191825001176009
1028,191825001176010
1029,191825001176011
1030,191825001176012
1031,191825001176013
1032,191825001176014
1033,191825001176015
1034,191825001176016
1035,191825001176017
1036,191825001176018
1037,191825001176019
1038,191825001176020
1039,191825001176021
1040,191825001176022
1041,191825001176023
1042,191825001176024
1043,191825001176025
1044,191825001176026
1045,191825001176027
1046,191825001176028
1047,191825001176029
1048,191825001176030
1049,191825001176032
1050,191825001176033
1051,191825001176034
1052,191825001176037
1053,191825001176038
1054,191825001176039
1055,191825001176041
1056,191825001176042
1057,191825001176043
1058,191825001176044
1059,191825001176045
1060,191825001176046
1061,191825001176047
1062,191825001176048
1063,191825001176049
1064,191825001176050
1065,191825001176051
1066,191825001176052
1067,191825001176053
1068,191825001176054
1069,191825001176055
1070,191825001176056
1071,191825001176057
1072,191825001176059
1073,191825001176060
1074,191825001176061
1075,191825001176062
1076,191825001176063
1077,191825001176064
1078,191825001176066
1079,191825001176067
1080,191825001176068
1081,191825001176070
1082,191825001176071
1083,191825001176072
1084,191825001176074
1085,191825001176075
1086,191825001176076
1087,191825001176079
1088,191825001176080
1089,191825001176081
1090,191825001176082
1091,191825001176083
1092,191825001176085
1093,191825001176086
1094,191825001176087
1095,191825001176088
1096,191825001176090
1097,191825001176091
1098,191825001176092
1099,191825001176094
1100,191825001176095
1101,191825001176096
1102,191825001176097
1103,191825001176098
1104,191825001176099
1105,191825001176100
1106,191825001176101
1107,191825001176102
1108,191825001176103
1109,191825001176104
1110,191825001176105
1111,191825001176106
1112,191825001176107
1113,191825001176108
1114,191825001176110
1115,191825001176111
1116,191825001176112
1117,191825001176113
1118,191825001176114
1119,191825001176115
1120,191825001176117
1121,191825001176118
1122,191825001176119
1123,191825001176120
1124,191825001176121
1125,191825001176122
1126,191825001176123
1127,191825001176125
1128,191825001176126
1129,191825001176127
1130,191825001176128
1131,191825001176129
1132,191825001176130
1133,191825001176131
1134,191825001176136
1135,191825001176137
1136,191825001176138
1137,191825001176141
1138,191825001176142
1139,191825001176145
1140,191825001176146
1141,191825001176147
1142,191825001176149
1143,191825001176150
1144,191825001176151
1145,191825001176152
1146,191825001176153
1147,191825001176161
1148,191825001176162
1149,191825001176163
1150,191825001176166
1151,191825001176167
1152,191825001176168
1153,191825001176169
1154,191825001176170
1155,191825001176172
1156,191825001176173
1157,191825001176175
1158,191825001176176
1159,191825001176177
1160,191825001176178
1161,191825001176179
1162,191825001176180
1163,191825001176181
1164,191825001176182
1165,191825001176183
1166,191825001176185
1167,191825001176186
1168,191825001176187
1169,191825001176188
1170,191825001176189
1171,191825001176190
1172,191825001176193
1173,191825001176194
1174,191825001176195
1175,191825001176196
1176,191825001176197
1177,191825001176198
1178,191825001176201
