cdl_code,crop,year,week_ending,pct_planted
1,corn,2018,2018-04-08,0
1,corn,2018,2018-04-15,0
1,corn,2018,2018-04-22,0
1,corn,2018,2018-04-29,17
1,corn,2018,2018-05-06,40
1,corn,2018,2018-05-13,65
1,corn,2018,2018-05-20,86
1,corn,2018,2018-05-27,96
1,corn,2018,2018-06-03,99
1,corn,2019,2019-04-07,0
1,corn,2019,2019-04-14,0
1,corn,2019,2019-04-21,4
1,corn,2019,2019-04-28,21
1,corn,2019,2019-05-05,36
1,corn,2019,2019-05-12,48
1,corn,2019,2019-05-19,70
1,corn,2019,2019-05-26,76
1,corn,2019,2019-06-02,80
1,corn,2019,2019-06-09,93
1,corn,2019,2019-06-16,98
1,corn,2019,2019-06-23,100
1,corn,2020,2020-04-12,0
1,corn,2020,2020-04-19,2
1,corn,2020,2020-04-26,39
1,corn,2020,2020-05-03,78
1,corn,2020,2020-05-10,91
1,corn,2020,2020-05-17,96
1,corn,2020,2020-05-24,97
1,corn,2020,2020-05-31,98
1,corn,2020,2020-06-07,99
1,corn,2021,2021-04-04,0
1,corn,2021,2021-04-11,1
1,corn,2021,2021-04-18,4
1,corn,2021,2021-04-25,20
1,corn,2021,2021-05-02,69
1,corn,2021,2021-05-09,86
1,corn,2021,2021-05-16,94
1,corn,2021,2021-05-23,97
1,corn,2021,2021-05-30,99
1,corn,2022,2022-04-03,0
1,corn,2022,2022-04-10,0
1,corn,2022,2022-04-17,0
1,corn,2022,2022-04-24,2
1,corn,2022,2022-05-01,9
1,corn,2022,2022-05-08,14
1,corn,2022,2022-05-15,57
1,corn,2022,2022-05-22,86
1,corn,2022,2022-05-29,94
1,corn,2022,2022-06-05,98
1,corn,2022,2022-06-12,99
1,corn,2023,2023-04-02,0
1,corn,2023,2023-04-09,0
1,corn,2023,2023-04-16,7
1,corn,2023,2023-04-23,10
1,corn,2023,2023-04-30,29
1,corn,2023,2023-05-07,70
1,corn,2023,2023-05-14,86
1,corn,2023,2023-05-21,95
