date,tmax_f,tmin_f
2018-01-01,-7.3,-20.2
2018-01-02,17.3,-23.2
2018-01-03,19.8,-1.9
2018-01-04,6.7,-10.6
2018-01-05,7.4,-3.9
2018-01-06,12.1,-14.0
2018-01-07,35.7,13.1
2018-01-08,38.4,17.2
2018-01-09,42.8,30.7
2018-01-10,45.1,32.4
2018-01-11,40.0,7.2
2018-01-12,10.5,-2.5
2018-01-13,11.8,-1.6
2018-01-14,23.1,1.0
2018-01-15,22.9,-2.9
2018-01-16,11.3,-4.0
2018-01-17,24.3,1.5
2018-01-18,36.6,18.1
2018-01-19,48.4,27.4
2018-01-20,46.7,25.5
2018-01-21,42.3,36.5
2018-01-22,44.4,31.0
2018-01-23,30.2,20.5
2018-01-24,37.7,17.5
2018-01-25,46.4,23.2
2018-01-26,55.2,34.1
2018-01-27,49.7,24.9
2018-01-28,29.4,18.9
2018-01-29,25.3,12.7
2018-01-30,38.4,12.7
2018-01-31,42.0,32.1
2018-02-01,31.7,6.1
2018-02-02,24.0,3.7
2018-02-03,42.4,22.2
2018-02-04,24.0,4.9
2018-02-05,12.7,2.1
2018-02-06,5.9,-11.4
2018-02-07,6.8,-2.7
2018-02-08,18.1,7.1
2018-02-09,17.9,5.5
2018-02-10,7.5,3.2
2018-02-11,8.8,-1.5
2018-02-12,9.1,-1.8
2018-02-13,25.3,8.2
2018-02-14,36.7,23.2
2018-02-15,36.1,26.3
2018-02-16,23.6,3.6
2018-02-17,32.9,16.3
2018-02-18,49.6,13.1
2018-02-19,37.3,27.9
2018-02-20,29.3,16.3
2018-02-21,26.1,7.3
2018-02-22,32.9,22.4
2018-02-23,34.3,23.1
2018-02-24,33.4,21.8
2018-02-25,43.0,22.6
2018-02-26,56.7,23.5
2018-02-27,62.6,33.0
2018-02-28,50.4,28.8
2018-03-01,45.1,26.2
2018-03-02,48.3,20.6
2018-03-03,54.0,33.3
2018-03-04,55.8,37.2
2018-03-05,47.6,31.9
2018-03-06,37.8,27.6
2018-03-07,33.4,20.6
2018-03-08,34.4,18.1
2018-03-09,38.8,19.7
2018-03-10,42.4,25.3
2018-03-11,43.1,31.4
2018-03-12,45.0,27.5
2018-03-13,41.1,23.8
2018-03-14,57.8,21.2
2018-03-15,51.8,26.4
2018-03-16,38.8,28.7
2018-03-17,44.2,31.1
2018-03-18,45.0,30.3
2018-03-19,54.1,33.0
2018-03-20,37.9,30.9
2018-03-21,45.5,23.5
2018-03-22,47.4,29.1
2018-03-23,45.4,33.4
2018-03-24,37.1,29.8
2018-03-25,37.1,27.5
2018-03-26,37.8,30.7
2018-03-27,45.6,29.3
2018-03-28,55.4,25.9
2018-03-29,43.4,28.0
2018-03-30,48.7,29.3
2018-03-31,48.8,21.9
2018-04-01,35.3,19.0
2018-04-02,43.0,20.2
2018-04-03,35.6,19.3
2018-04-04,35.0,12.9
2018-04-05,47.8,28.0
2018-04-06,34.5,18.4
2018-04-07,40.1,14.8
2018-04-08,31.1,23.5
2018-04-09,39.2,27.9
2018-04-10,51.4,24.9
2018-04-11,62.9,34.2
2018-04-12,63.2,41.1
2018-04-13,54.4,40.1
2018-04-14,39.6,29.6
2018-04-15,28.8,23.6
2018-04-16,32.2,20.3
2018-04-17,46.8,20.2
2018-04-18,35.1,29.3
2018-04-19,47.2,26.7
2018-04-20,55.4,25.2
2018-04-21,56.1,40.9
2018-04-22,63.6,41.1
2018-04-23,66.7,43.8
2018-04-24,70.1,40.0
2018-04-25,60.4,42.3
2018-04-26,66.6,37.5
2018-04-27,68.8,37.8
2018-04-28,56.0,39.2
2018-04-29,65.3,39.0
2018-04-30,79.7,53.6
2018-05-01,74.8,60.6
2018-05-02,68.1,57.7
2018-05-03,72.1,53.6
2018-05-04,75.1,53.3
2018-05-05,79.2,49.6
2018-05-06,74.7,53.2
2018-05-07,76.5,47.8
2018-05-08,78.4,56.2
2018-05-09,73.1,57.7
2018-05-10,71.5,54.3
2018-05-11,65.8,50.8
2018-05-12,61.0,48.3
2018-05-13,65.0,53.2
2018-05-14,78.4,58.9
2018-05-15,76.7,56.1
2018-05-16,77.9,54.6
2018-05-17,79.7,57.8
2018-05-18,78.9,58.7
2018-05-19,76.1,58.4
2018-05-20,65.4,52.9
2018-05-21,69.4,56.6
2018-05-22,78.8,53.2
2018-05-23,82.7,62.1
2018-05-24,84.8,65.7
2018-05-25,85.0,68.3
2018-05-26,90.1,63.1
2018-05-27,92.9,62.1
2018-05-28,90.6,66.5
2018-05-29,87.7,66.7
2018-05-30,80.8,66.5
2018-05-31,86.0,62.3
2018-06-01,89.2,64.1
2018-06-02,80.2,63.8
2018-06-03,74.9,58.7
2018-06-04,80.8,52.3
2018-06-05,86.3,62.1
2018-06-06,89.1,66.0
2018-06-07,82.8,67.7
2018-06-08,83.6,68.9
2018-06-09,87.1,66.6
2018-06-10,81.1,64.6
2018-06-11,83.8,64.0
2018-06-12,86.2,66.7
2018-06-13,77.6,60.0
2018-06-14,80.2,60.6
2018-06-15,92.6,71.8
2018-06-16,91.0,72.7
2018-06-17,90.9,77.1
2018-06-18,90.0,75.1
2018-06-19,81.8,71.9
2018-06-20,78.4,67.8
2018-06-21,74.0,61.0
2018-06-22,74.7,62.0
2018-06-23,76.6,57.9
2018-06-24,80.5,63.1
2018-06-25,76.6,66.3
2018-06-26,76.1,65.8
