field_idx,seed_field_idx
1918,2620
1922,2620
1927,2620
1931,2620
1938,2620
1939,2620
1943,2620
1944,2620
1946,2620
1949,2620
1950,2620
1951,2620
1952,2620
1959,2620
1962,2620
1965,2620
1970,2620
1971,2620
1973,2620
2580,2620
2583,2620
2585,2620
2591,2620
2592,2620
2606,2620
2610,2620
2620,2620
2623,2620
2631,2620
2643,2620
2644,2620
2645,2620
2648,2620
2655,2620
2659,2620
2660,2620
2661,2620
2672,2620
2688,2620
2689,2620
2690,2620
2692,2620
2693,2620
2694,2620
2695,2620
2696,2620
2697,2620
2719,2620
2725,2620
2727,2620
